NAMESPACE                   LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
default                     43m         Normal    Starting                  node/bijux-atlas-e2e-control-plane                          
kube-system                 44m         Normal    Pulled                    pod/etcd-bijux-atlas-e2e-control-plane                      Container image "registry.k8s.io/etcd:3.5.16-0" already present on machine
kube-system                 44m         Normal    Created                   pod/kube-scheduler-bijux-atlas-e2e-control-plane            Created container: kube-scheduler
kube-system                 44m         Normal    Pulled                    pod/kube-scheduler-bijux-atlas-e2e-control-plane            Container image "registry.k8s.io/kube-scheduler:v1.32.2" already present on machine
kube-system                 44m         Normal    Pulled                    pod/kube-controller-manager-bijux-atlas-e2e-control-plane   Container image "registry.k8s.io/kube-controller-manager:v1.32.2" already present on machine
kube-system                 44m         Normal    Pulled                    pod/kube-apiserver-bijux-atlas-e2e-control-plane            Container image "registry.k8s.io/kube-apiserver:v1.32.2" already present on machine
default                     44m         Normal    NodeAllocatableEnforced   node/bijux-atlas-e2e-control-plane                          Updated Node Allocatable limit across pods
default                     44m         Normal    NodeHasSufficientPID      node/bijux-atlas-e2e-control-plane                          Node bijux-atlas-e2e-control-plane status is now: NodeHasSufficientPID
default                     44m         Normal    NodeHasNoDiskPressure     node/bijux-atlas-e2e-control-plane                          Node bijux-atlas-e2e-control-plane status is now: NodeHasNoDiskPressure
default                     44m         Normal    NodeHasSufficientMemory   node/bijux-atlas-e2e-control-plane                          Node bijux-atlas-e2e-control-plane status is now: NodeHasSufficientMemory
kube-system                 44m         Normal    Started                   pod/etcd-bijux-atlas-e2e-control-plane                      Started container etcd
kube-system                 44m         Normal    Created                   pod/kube-controller-manager-bijux-atlas-e2e-control-plane   Created container: kube-controller-manager
kube-system                 44m         Normal    Started                   pod/kube-scheduler-bijux-atlas-e2e-control-plane            Started container kube-scheduler
kube-system                 44m         Normal    Started                   pod/kube-controller-manager-bijux-atlas-e2e-control-plane   Started container kube-controller-manager
kube-system                 44m         Normal    Created                   pod/kube-apiserver-bijux-atlas-e2e-control-plane            Created container: kube-apiserver
kube-system                 44m         Normal    Started                   pod/kube-apiserver-bijux-atlas-e2e-control-plane            Started container kube-apiserver
kube-system                 44m         Normal    Created                   pod/etcd-bijux-atlas-e2e-control-plane                      Created container: etcd
