NAMESPACE                   NAME                                                    READY   STATUS    RESTARTS   AGE     IP            NODE                            NOMINATED NODE   READINESS GATES
atlas-e2e                   grafana-7459f79596-vr42j                                1/1     Running   0          43m     10.244.0.5    bijux-atlas-e2e-control-plane   <none>           <none>
atlas-e2e                   minio-8d4866b9-gk4nn                                    1/1     Running   0          43m     10.244.0.7    bijux-atlas-e2e-control-plane   <none>           <none>
atlas-e2e                   otel-collector-676699486c-xhdlz                         1/1     Running   0          43m     10.244.0.8    bijux-atlas-e2e-control-plane   <none>           <none>
atlas-e2e                   prometheus-77f7b9d779-2zq96                             1/1     Running   0          43m     10.244.0.4    bijux-atlas-e2e-control-plane   <none>           <none>
atlas-observability         atlas-observability-grafana-64b9766696-zmqfh            1/1     Running   0          58s     10.244.0.57   bijux-atlas-e2e-control-plane   <none>           <none>
atlas-observability         atlas-observability-otel-cbc899fc-mt82x                 1/1     Running   0          57s     10.244.0.58   bijux-atlas-e2e-control-plane   <none>           <none>
atlas-observability         atlas-observability-prometheus-7595b747b8-pgh2d         1/1     Running   0          58s     10.244.0.56   bijux-atlas-e2e-control-plane   <none>           <none>
atlas-ops-20260219-175103   atlas-e2e-bijux-atlas-5c5d64d5d5-8psr2                  1/1     Running   0          5m57s   10.244.0.46   bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 coredns-668d6bf9bc-g2c4j                                1/1     Running   0          43m     10.244.0.6    bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 coredns-668d6bf9bc-phnlt                                1/1     Running   0          43m     10.244.0.3    bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 etcd-bijux-atlas-e2e-control-plane                      1/1     Running   0          44m     172.19.0.2    bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 kindnet-62s5l                                           1/1     Running   0          43m     172.19.0.2    bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 kube-apiserver-bijux-atlas-e2e-control-plane            1/1     Running   0          44m     172.19.0.2    bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 kube-controller-manager-bijux-atlas-e2e-control-plane   1/1     Running   0          44m     172.19.0.2    bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 kube-proxy-7mf97                                        1/1     Running   0          43m     172.19.0.2    bijux-atlas-e2e-control-plane   <none>           <none>
kube-system                 kube-scheduler-bijux-atlas-e2e-control-plane            1/1     Running   0          44m     172.19.0.2    bijux-atlas-e2e-control-plane   <none>           <none>
local-path-storage          local-path-provisioner-7dc846544d-9w5nc                 1/1     Running   0          43m     10.244.0.2    bijux-atlas-e2e-control-plane   <none>           <none>
