# atlasctl checks registry (generated)
# Regenerate with: ./bin/atlasctl gen checks-registry

id	domain	area	owner	speed	gate	module	callable	docs_link	remediation_link
checks_checks_commands_no_domains_import	checks	commands	platform	fast	checks	atlasctl.checks.domains.internal	check_commands_no_domains_import	packages/atlasctl/docs/checks/index.md#checks_checks_commands_no_domains_import	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_count_budget	checks	count	platform	fast	checks	atlasctl.checks.domains.internal	check_count_budget	packages/atlasctl/docs/checks/index.md#checks_checks_count_budget	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_docs_index_complete	checks	docs	platform	fast	checks	atlasctl.checks.domains.internal	check_docs_index_complete	packages/atlasctl/docs/checks/index.md#checks_checks_docs_index_complete	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_domains_contracts_no_nested_dirs	checks	domains	platform	fast	checks	atlasctl.checks.domains.internal	check_domains_contracts_no_nested_dirs	packages/atlasctl/docs/checks/index.md#checks_checks_domains_contracts_no_nested_dirs	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_domains_module_budget	checks	domains	platform	fast	checks	atlasctl.checks.domains.internal	check_checks_domains_module_budget	packages/atlasctl/docs/checks/index.md#checks_checks_domains_module_budget	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_evidence_not_tracked	checks	evidence	platform	fast	checks	atlasctl.checks.domains.internal	check_checks_evidence_not_tracked	packages/atlasctl/docs/checks/index.md#checks_checks_evidence_not_tracked	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_forbidden_imports	checks	forbidden	platform	fast	checks	atlasctl.checks.domains.internal	check_checks_forbidden_imports	packages/atlasctl/docs/checks/index.md#checks_checks_forbidden_imports	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_generated_no_timestamp_dirs	checks	generated	platform	fast	checks	atlasctl.checks.domains.internal	check_no_generated_timestamp_dirs	packages/atlasctl/docs/checks/index.md#checks_checks_generated_no_timestamp_dirs	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_import_cycles	checks	import	platform	fast	checks	atlasctl.checks.domains.internal	check_checks_import_cycles	packages/atlasctl/docs/checks/index.md#checks_checks_import_cycles	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_module_loc_budget	checks	module	platform	fast	checks	atlasctl.checks.domains.internal	check_checks_module_loc_budget	packages/atlasctl/docs/checks/index.md#checks_checks_module_loc_budget	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_no_commands_import	checks	no	platform	fast	checks	atlasctl.checks.domains.internal	check_checks_no_commands_import	packages/atlasctl/docs/checks/index.md#checks_checks_no_commands_import	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_no_raw_string_check_id_usage	checks	no	platform	fast	checks	atlasctl.checks.domains.internal	check_no_raw_string_check_id_usage	packages/atlasctl/docs/checks/index.md#checks_checks_no_raw_string_check_id_usage	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_owners_ssot	checks	owners	platform	fast	checks	atlasctl.checks.domains.internal	check_owners_ssot	packages/atlasctl/docs/checks/index.md#checks_checks_owners_ssot	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_all_checks_have_canonical_id	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_all_checks_have_canonical_id	packages/atlasctl/docs/checks/index.md#checks_checks_registry_all_checks_have_canonical_id	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_cache_scope	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_scattered_registry_caches	packages/atlasctl/docs/checks/index.md#checks_checks_registry_cache_scope	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_canonical_id_matches_module_path	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_canonical_id_matches_module_path	packages/atlasctl/docs/checks/index.md#checks_checks_registry_canonical_id_matches_module_path	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_change_docs_gate	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_change_requires_docs_update	packages/atlasctl/docs/checks/index.md#checks_checks_registry_change_docs_gate	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_change_goldens_gate	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_change_requires_golden_update	packages/atlasctl/docs/checks/index.md#checks_checks_registry_change_goldens_gate	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_change_owners_gate	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_change_requires_owner_update	packages/atlasctl/docs/checks/index.md#checks_checks_registry_change_owners_gate	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_docs_link_required	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_docs_link_required	packages/atlasctl/docs/checks/index.md#checks_checks_registry_docs_link_required	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_docs_meta_runtime_drift	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_docs_meta_matches_runtime	packages/atlasctl/docs/checks/index.md#checks_checks_registry_docs_meta_runtime_drift	packages/atlasctl/docs/checks/check-id-migration-rules.md
checks_checks_registry_import_hygiene	checks	registry	platform	fast	checks	atlasctl.checks.domains.internal	check_registry_import_hygiene	packages/atlasctl/docs/checks/index.md#checks_checks_registry_import_hygiene	packages/atlasctl/docs/checks/check-id-migration-rules.md
